18.009202,-76.758712,0.1
18.00928,-76.75848,0.1
18.008862,-76.756759,0.1
18.008329,-76.754526,0.1
18.008074,-76.754045,0.1
18.00697,-76.753289,0.1
18.00409,-76.751492,0.1
18.003722,-76.75142,0.1
18.00349,-76.751498,0.1
18.003204,-76.751774,0.1
18.003009,-76.752568,0.1
18.002685,-76.75363,0.1
18.002118,-76.755739,0.1
18.002171,-76.756001,0.1
18.002545,-76.756677,0.1
18.003086,-76.756724,0.1
18.003246,-76.75678,0.1
18.003683,-76.756965,0.1
18.003896,-76.757215,0.1
18.004217,-76.757224,0.1
18.004818,-76.757555,0.1
18.006614,-76.758297,0.1
18.006906,-76.758575,0.1
18.007025,-76.75886,0.1
18.008839,-76.758927,0.1
